year_month,permit_count,year,month,quarter,is_year_start,is_year_end,is_q_start,is_q_end,lag_1,rolling_mean_3,rolling_std_3
2006-03-01,358,2006,3,1,0,0,0,0,305.0,310.0,45.70557952810576
2006-04-01,311,2006,4,2,0,0,1,0,358.0,324.6666666666667,29.02297940138699
2006-05-01,303,2006,5,2,0,0,0,0,311.0,324.0,29.71531591620725
2006-06-01,235,2006,6,2,0,0,0,0,303.0,283.0,41.7612260356422
2006-07-01,227,2006,7,3,0,0,1,0,235.0,255.0,41.7612260356422
2006-08-01,343,2006,8,3,0,0,0,0,227.0,268.3333333333333,64.78682993736716
2006-09-01,286,2006,9,3,0,0,0,0,343.0,285.3333333333333,58.00287349203774
2006-10-01,299,2006,10,4,0,0,1,0,286.0,309.3333333333333,29.871948937646085
2006-11-01,245,2006,11,4,0,0,0,0,299.0,276.6666666666667,28.18391976523732
2006-12-01,201,2006,12,4,0,0,0,0,245.0,248.33333333333334,49.0849603578666
2007-01-01,200,2007,1,1,1,0,1,0,201.0,215.33333333333334,25.696951829610768
2007-02-01,159,2007,2,1,0,0,0,0,200.0,186.66666666666666,23.96525262402498
2007-03-01,196,2007,3,1,0,0,0,0,159.0,185.0,22.605309110914693
2007-04-01,179,2007,4,2,0,0,1,0,196.0,178.0,18.52025917745221
2007-05-01,212,2007,5,2,0,0,0,0,179.0,195.66666666666666,16.502525059315506
2007-06-01,256,2007,6,2,0,0,0,0,212.0,215.66666666666666,38.63073042712675
2007-07-01,210,2007,7,3,0,0,1,0,256.0,226.0,26.00000000000007
2007-08-01,228,2007,8,3,0,0,0,0,210.0,231.33333333333334,23.180451534285027
2007-09-01,211,2007,9,3,0,0,0,0,228.0,216.33333333333334,10.115993936995872
2007-10-01,202,2007,10,4,0,0,1,0,211.0,213.66666666666666,13.203534880225716
2007-11-01,221,2007,11,4,0,0,0,0,202.0,211.33333333333334,9.50438495292236
2007-12-01,166,2007,12,4,0,0,0,0,221.0,196.33333333333334,27.934447074057815
2008-01-01,137,2008,1,1,1,0,1,0,166.0,174.66666666666666,42.66536456346456
2008-02-01,102,2008,2,1,0,0,0,0,137.0,135.0,32.046840717924184
2008-03-01,106,2008,3,1,0,0,0,0,102.0,115.0,19.157244060668106
2008-04-01,130,2008,4,2,0,0,1,0,106.0,112.66666666666667,15.14375558880084
2008-05-01,104,2008,5,2,0,0,0,0,130.0,113.33333333333333,14.468356276140584
2008-06-01,91,2008,6,2,0,0,0,0,104.0,108.33333333333333,19.857828011475387
2008-07-01,147,2008,7,3,0,0,1,0,91.0,114.0,29.308701779505743
2008-08-01,138,2008,8,3,0,0,0,0,147.0,125.33333333333333,30.072135496724147
2008-09-01,140,2008,9,3,0,0,0,0,138.0,141.66666666666666,4.725815626252956
2008-10-01,165,2008,10,4,0,0,1,0,140.0,147.66666666666666,15.044378795195788
2008-11-01,97,2008,11,4,0,0,0,0,165.0,134.0,34.39476704383973
2008-12-01,75,2008,12,4,0,0,0,0,97.0,112.33333333333333,46.91836882643446
2009-01-01,46,2009,1,1,1,0,1,0,75.0,72.66666666666667,25.579940057266292
2009-02-01,46,2009,2,1,0,0,0,0,46.0,55.666666666666664,16.743157806499255
2009-03-01,81,2009,3,1,0,0,0,0,46.0,57.666666666666664,20.207259421636987
2009-04-01,49,2009,4,2,0,0,1,0,81.0,58.666666666666664,19.39931270260204
2009-05-01,62,2009,5,2,0,0,0,0,49.0,64.0,16.093476939431188
2009-06-01,89,2009,6,2,0,0,0,0,62.0,66.66666666666667,20.40424792373727
2009-07-01,90,2009,7,3,0,0,1,0,89.0,80.33333333333333,15.885003409925245
